target_id,n_models,mean_rmsd,std_rmsd,min_rmsd,max_rmsd,methods
6i35__2__1.C__1.N_1.P,3,0.694,0.124,0.62,0.836,mcs
6i5p__4__1.G__1.H,3,3.176,0.325,2.845,3.494,mcs
6i6r__2__1.B__1.M,3,0.606,0.4,0.145,0.846,mcs
6i6x__1__1.A__1.G,3,0.644,0.014,0.629,0.656,mcs
6i6x__2__1.B__1.E,3,0.946,0.084,0.851,1.011,mcs
6i6x__2__1.B__1.S,3,0.872,0.196,0.646,0.994,global
6iik__1__1.B__1.D,3,1.219,0.246,0.935,1.369,mcs
6iil__1__1.B__1.D,3,0.831,0.437,0.326,1.089,mcs
6imj__1__1.A__1.E_1.G_1.H,3,1.043,0.066,0.997,1.118,mcs
6iqx__2__1.B__1.Q,3,0.247,0.257,0.095,0.544,mcs
6iqy__2__1.B__1.S,3,0.111,0.04,0.083,0.157,mcs
6jd5__2__1.B__1.E_1.F,3,0.77,0.009,0.764,0.781,mcs
6jo0__1__1.A__1.B,3,0.005,0.0,0.005,0.005,mcs
6kal__1__1.A__1.G_1.H,3,0.818,0.072,0.759,0.898,mcs
6kfe__1__1.A_2.A__1.D,3,0.63,0.022,0.606,0.65,mcs
6kx8__2__1.B__1.D,3,1.157,0.207,0.918,1.291,mcs
6l3r__1__1.A__1.E,3,0.868,0.423,0.399,1.221,mcs
6lel__1__1.A_2.B__1.C,3,0.544,0.032,0.524,0.581,global
6lfr__1__1.A__1.B,3,0.553,0.012,0.542,0.566,mcs
6lft__1__1.A__1.B_1.C,3,0.57,0.029,0.537,0.591,mcs
6lil__1__1.B__1.K,3,0.468,0.118,0.398,0.604,mcs
6lq9__1__1.C__1.J,3,1.003,0.477,0.578,1.519,mcs
6lsa__2__1.D__1.E,3,2.403,0.816,1.461,2.883,mcs
6m06__2__1.B__1.D,3,0.4,0.025,0.385,0.429,mcs
6m3z__1__1.A_1.B_1.C__1.E_1.L,3,1.476,0.196,1.256,1.633,mcs
6m47__1__1.A__1.G,3,0.751,0.151,0.58,0.865,mcs
6mcj__1__1.A__1.C,3,0.052,0.005,0.047,0.058,mcs
6ms8__1__1.A__1.I,3,1.091,0.001,1.09,1.093,mcs
6mx3__1__1.A_1.B__1.C_1.D,3,1.354,0.134,1.199,1.431,mcs
6o9x__1__1.A__1.B,3,0.96,0.181,0.756,1.1,mcs
6oa1__1__1.A__1.B,3,1.446,0.264,1.152,1.664,mcs
6oa3__1__1.A__1.B,3,0.744,0.387,0.491,1.189,mcs
6oug__1__1.A_1.B_1.C_1.D__1.I,3,0.381,0.016,0.367,0.399,global
6pai__1__1.B_1.C__1.G,3,2.135,0.203,1.945,2.349,mcs
6pe3__1__1.A__1.B,3,0.84,0.132,0.689,0.924,mcs
6peu__1__1.A_1.E__1.I_1.J_1.K,3,1.609,0.395,1.235,2.023,mcs
6pgu__1__1.A__1.C,3,0.929,0.056,0.865,0.974,mcs
6pia__1__1.A_1.B__1.J_1.L_1.Q,3,0.968,0.077,0.899,1.051,mcs
6pyy__1__1.D__1.P,3,0.916,0.044,0.869,0.956,mcs
6q8n__2__1.B__1.W,3,0.392,0.18,0.232,0.587,mcs
6qp8__1__1.B__1.I,3,1.097,0.421,0.625,1.433,mcs
6qpl__1__1.A__1.E_1.F,3,0.267,0.054,0.207,0.309,mcs
6qvg__1__1.A_1.B__1.L,3,1.073,0.489,0.56,1.535,mcs
6r4g__1__1.B__1.F_1.G,3,0.602,0.018,0.581,0.615,mcs
6r4j__1__1.B__1.G_1.H,3,1.172,0.127,1.046,1.301,mcs
6r4y__1__1.A_1.D__1.D_1.E,3,1.523,0.116,1.408,1.64,mcs
6r58__2__1.B__1.F_1.J,3,2.527,0.256,2.232,2.69,mcs
6rtw__1__1.A__1.D,3,0.479,0.006,0.473,0.485,mcs
6sh1__1__1.A__1.D,3,0.222,0.007,0.218,0.23,mcs
6t7g__2__1.B__1.L_1.M,3,0.433,0.01,0.426,0.445,mcs
6tez__1__1.A__1.C_1.I,3,2.611,0.088,2.548,2.711,mcs
6tlk__2__1.D__1.R,3,0.975,0.029,0.953,1.008,mcs
6tn2__1__1.A__1.B,3,1.881,0.133,1.799,2.035,mcs
6tvn__4__1.D__1.L,3,0.09,0.001,0.089,0.091,mcs
6u5y__2__1.B__1.D,3,0.835,0.101,0.72,0.907,mcs
6uik__1__1.A__1.C,3,0.321,0.096,0.211,0.388,mcs
6ujj__1__1.A__1.B,3,1.181,0.059,1.133,1.246,mcs
6ul2__3__1.C__1.W,3,0.207,0.012,0.198,0.221,mcs
6w8z__1__1.A__1.E,3,0.448,0.003,0.445,0.451,mcs
6wk8__1__1.A_1.B_1.D__1.F,3,1.334,0.168,1.142,1.457,mcs
6wk9__2__1.E_1.F_1.G__1.Q_1.R_1.U_1.V,3,2.251,0.084,2.159,2.322,global
6wo4__1__1.B__1.E,3,0.657,0.151,0.537,0.827,mcs
6wqt__1__1.A__1.C,3,1.114,0.359,0.701,1.345,mcs
6wuu__1__1.A__1.E,3,1.622,0.008,1.617,1.63,mcs
6wv7__1__1.A__1.C,3,1.689,0.245,1.509,1.968,mcs
6wvh__1__1.A__1.C,3,0.891,0.479,0.338,1.168,mcs
6x5t__2__1.D__1.Q,3,0.696,0.011,0.685,0.707,mcs
6x5u__4__2.F__2.X,3,0.481,0.258,0.316,0.778,mcs
6x6v__3__1.C__1.G,3,1.126,0.028,1.106,1.158,mcs
6x81__2__1.D_1.E_1.F__1.I_1.J,3,0.8,0.309,0.487,1.106,mcs
6x82__2__1.D_1.E_1.F__1.H,3,3.113,1.672,1.387,4.726,mcs
6x9f__1__1.A__1.I,3,1.807,0.06,1.758,1.875,mcs
6xhq__1__1.A_1.B__1.C,3,0.687,0.201,0.456,0.819,mcs
6xoo__1__1.A__1.B,3,0.979,0.093,0.918,1.086,mcs
6xop__1__1.A__1.B,3,1.09,0.109,0.971,1.185,mcs
6xug__1__1.B__1.H_1.I_1.K_1.L,3,0.905,1.275,0.158,2.377,mcs
6xuq__1__2.A__2.B_2.C_2.E,3,1.269,0.266,1.005,1.536,mcs
6y5m__1__1.A__1.I,3,1.661,0.089,1.574,1.753,mcs
6y87__6__1.F__1.O,3,0.675,0.01,0.663,0.681,mcs
6y88__6__1.F__1.U,3,0.863,0.083,0.812,0.96,mcs
6yab__2__1.B__1.I,3,0.07,0.003,0.068,0.073,mcs
6ykb__1__1.A__1.C,3,0.716,0.07,0.635,0.759,mcs
6yx0__2__1.B_1.D__1.D_1.F,3,1.376,0.333,1.139,1.756,mcs
6yy6__1__1.A__1.E,3,0.091,0.005,0.087,0.096,mcs
6yyd__1__1.A__1.B,3,1.382,0.004,1.379,1.386,mcs
6z3v__1__1.A_1.B__1.D_1.I,3,1.633,0.363,1.22,1.902,mcs
6z4o__1__1.A_1.B__1.D_1.H,3,0.905,0.268,0.746,1.215,mcs
6zbn__1__1.A__1.G_1.H,3,1.135,0.204,0.977,1.365,mcs
6zbo__1__1.A__1.G_1.H,3,1.171,0.05,1.113,1.204,mcs
6zc8__1__1.A__1.C,3,1.557,0.038,1.513,1.583,mcs
6zxb__1__1.B__1.L_1.N_1.O,3,0.813,0.131,0.666,0.919,mcs
7a0c__2__1.B__1.T_1.U,3,1.013,0.442,0.517,1.366,mcs
7a5x__1__1.B__1.G,3,0.931,0.158,0.782,1.097,mcs
7a9z__2__1.B_2.A__2.C,3,0.935,0.021,0.921,0.958,mcs
7ac8__3__1.E__1.K,3,0.959,0.124,0.817,1.049,mcs
7akw__1__1.A__1.D,3,0.015,0.0,0.015,0.015,mcs
7bht__1__1.A_2.A__2.C,3,0.415,0.428,0.159,0.91,mcs
7bhx__1__1.A_2.A__1.C_2.C,3,0.407,0.331,0.206,0.79,mcs
7bo7__1__1.A__1.C,3,0.0,0.0,0.0,0.0,mcs
7c1y__1__1.A_1.B__1.D,3,0.21,0.008,0.2,0.217,mcs
7c6b__2__1.B__1.E,3,0.683,0.144,0.545,0.831,mcs
7cbb__1__1.A__1.C,3,0.905,0.189,0.775,1.121,mcs
7cfd__1__1.A__1.B,3,2.602,0.402,2.168,2.962,mcs
7cfd__5__1.G__1.H,3,3.276,0.035,3.255,3.316,mcs
7coz__1__1.A__1.D_1.F_1.G,3,1.781,0.136,1.662,1.929,mcs
7cpr__1__1.F_1.J__1.P,3,0.65,0.027,0.623,0.677,mcs
7crz__1__1.A__1.B_1.C,3,2.082,0.12,1.965,2.204,mcs
7cta__1__2.B__2.E_2.F,3,0.458,0.091,0.353,0.515,mcs
7d2f__1__1.A__1.C,3,0.668,0.231,0.404,0.83,mcs
7d7u__3__1.C__1.F,3,1.715,1.02,0.537,2.307,mcs
7db7__1__2.A__2.C,3,2.783,0.087,2.684,2.845,mcs
7e8q__1__1.A_1.C_1.D__1.J,3,0.838,0.29,0.549,1.129,mcs
7ee5__1__1.A__1.H,3,0.514,0.003,0.51,0.516,mcs
7em1__1__1.A__1.D,3,2.064,0.073,2.021,2.148,mcs
7erb__2__1.C__1.L_1.M,3,0.844,0.001,0.842,0.845,mcs
7ere__1__1.A_1.B__1.G_1.I,3,0.824,0.006,0.82,0.831,mcs
7f4c__1__1.A__1.C_1.D,3,0.512,0.078,0.465,0.602,mcs
7k5m__1__1.B__1.I,3,1.068,0.052,1.013,1.117,mcs
7kcy__1__1.A__1.B,3,0.898,0.052,0.857,0.956,mcs
7khx__1__1.B__1.E,3,2.668,0.624,2.214,3.379,mcs
7kid__1__1.A__1.G,3,0.289,0.006,0.282,0.295,mcs
7li5__1__1.A__1.C,3,1.705,0.108,1.616,1.825,mcs
7loo__1__1.C_1.D__1.FA_1.HA,3,2.003,0.021,1.981,2.024,mcs
7m2o__1__1.A__1.B_1.C,3,3.212,0.65,2.518,3.808,mcs
7mfp__1__1.A_1.B__1.I,3,0.724,0.02,0.704,0.745,mcs
7n4w__1__2.A__2.D,3,0.522,0.062,0.46,0.584,mcs
7n54__1__1.B__1.H,3,0.452,0.001,0.45,0.453,mcs
7n8l__2__1.B__1.J_1.M,3,0.864,0.079,0.774,0.926,mcs
7nag__2__1.B__1.D,3,0.914,0.036,0.879,0.952,mcs
7nah__2__1.B__1.D,3,0.717,0.137,0.56,0.813,mcs
7nn0__2__1.B__1.J,3,1.508,0.018,1.488,1.525,mcs
7oa4__4__1.D__1.S_1.T_1.U_1.V,3,1.557,0.33,1.231,1.892,mcs
7okt__1__1.A__1.E,3,0.503,0.255,0.22,0.715,mcs
7ow2__1__1.A_1.C_1.E_1.G__1.E_1.G,3,4.291,0.086,4.196,4.361,mcs
7p3b__1__1.A__1.C_1.D_1.E,3,0.676,0.175,0.571,0.878,mcs
7plr__3__1.C__1.O_1.P_1.Q_1.R,3,0.484,0.003,0.481,0.487,mcs
7pwy__1__1.A_1.B__1.I_1.J,3,0.727,0.013,0.719,0.741,mcs
7pz1__1__1.A__1.D,3,1.008,0.002,1.006,1.011,mcs
7qea__1__1.A__1.C,3,0.431,0.08,0.338,0.482,mcs
7qox__1__1.A__1.D,3,4.117,0.308,3.854,4.456,mcs
7qta__2__1.B__1.O,3,0.599,0.024,0.578,0.625,mcs
7qu9__2__1.B__1.G,3,0.272,0.225,0.141,0.532,mcs
7r2v__2__1.B__1.L,3,0.417,0.013,0.409,0.433,mcs
7rbw__2__1.B__1.D,3,0.18,0.021,0.158,0.201,mcs
7rf9__2__1.C_1.D__1.GA,3,0.849,0.01,0.843,0.861,mcs
7rgy__1__1.A__1.D,3,0.416,0.228,0.258,0.678,mcs
7rgz__1__1.A__1.D,3,0.838,0.163,0.729,1.026,mcs
7rtc__2__1.B__1.E,3,0.845,0.066,0.769,0.889,mcs
7s2r__1__1.A__1.C,3,1.163,0.413,0.893,1.638,mcs
7s7t__1__1.A__1.B,3,0.218,0.016,0.206,0.237,mcs
7siy__1__1.A__1.B,3,1.113,0.141,0.95,1.199,mcs
7ssi__2__1.E__1.N_1.O,3,1.137,0.041,1.096,1.178,mcs
7t78__2__1.B__1.I,3,1.995,0.028,1.966,2.023,mcs
7t8f__1__1.A_1.B__1.E_1.H,3,0.942,0.465,0.404,1.21,mcs
7t9z__2__1.B__1.E,3,0.998,0.117,0.865,1.082,mcs
7ta0__2__1.C_2.C__2.H,3,0.899,0.211,0.769,1.143,mcs
7tfp__2__1.B_2.C__2.F_2.G,3,1.019,0.152,0.919,1.194,mcs
7u0r__1__1.B__1.I_1.J_1.K_1.L,3,0.699,0.021,0.677,0.718,mcs
7u8y__1__1.B__1.G_1.H_1.I_1.J,3,0.396,0.258,0.098,0.55,mcs
7uas__1__1.A__1.C,3,0.622,0.041,0.596,0.669,mcs
7uxs__1__1.A_1.B__1.C_1.F,3,0.426,0.004,0.421,0.428,mcs
7v0j__3__1.C__1.F,3,2.184,0.121,2.091,2.321,global
7v3d__1__1.A_1.B__1.F,3,0.689,0.065,0.614,0.734,mcs
7vbt__1__1.B__1.D,3,0.684,0.118,0.604,0.82,mcs
7vbv__1__1.B__1.N,3,0.562,0.007,0.554,0.569,mcs
7vf3__2__1.C__1.G,3,0.372,0.185,0.168,0.528,mcs
7vjt__1__1.A__1.C,3,0.966,0.001,0.966,0.967,mcs
7vtf__1__1.A_1.B__1.F,3,0.153,0.007,0.148,0.161,mcs
7vzn__1__1.A_1.B__1.S_1.T_1.U,3,0.062,0.031,0.042,0.098,mcs
7w2f__1__1.A__1.M,3,1.983,1.071,1.336,3.219,mcs
7w2g__1__1.A__1.M,3,1.618,0.107,1.547,1.741,mcs
7wmi__1__1.B__1.F_1.G,3,0.819,0.015,0.806,0.835,mcs
7x11__1__1.D__1.P,3,1.518,0.093,1.428,1.614,mcs
7y4o__1__1.B__1.D,3,0.209,0.18,0.048,0.403,mcs
7y4p__1__1.A__1.E,3,0.482,0.046,0.453,0.535,mcs
7z5u__1__1.A__1.B_1.C,3,0.558,0.006,0.554,0.565,mcs
7zbv__1__1.A__1.B_1.E,3,1.02,0.127,0.925,1.164,mcs
7zm0__1__1.A__1.K,3,0.749,0.104,0.629,0.813,mcs
7zns__1__1.A__1.C,3,2.664,0.622,2.081,3.318,mcs
8a0v__2__1.B__1.L,3,1.102,0.009,1.093,1.109,mcs
8a1n__1__1.A__1.C,3,0.303,0.041,0.264,0.346,mcs
8ak6__2__1.B__1.P_1.Q,3,1.54,0.287,1.21,1.724,mcs
8akb__2__1.B__1.K,3,0.416,0.16,0.232,0.521,mcs
8b0d__1__1.A__1.C,3,0.751,0.146,0.583,0.849,mcs
8b0e__1__1.A__1.B,3,0.936,0.026,0.921,0.966,mcs
8b18__1__1.A__1.C,3,1.922,0.03,1.898,1.956,mcs
8b1a__1__1.A__1.C,3,1.146,0.007,1.139,1.152,mcs
8b1b__1__1.A__1.C,3,0.951,0.163,0.774,1.095,mcs
8b1e__1__1.A__1.C,3,0.92,0.276,0.604,1.116,mcs
8b1f__1__1.A__1.C,3,0.23,0.098,0.163,0.342,mcs
8b1h__1__1.A__1.C,3,0.917,0.086,0.838,1.009,mcs
8b6m__1__1.A_1.B__1.E,3,3.593,0.144,3.502,3.759,mcs
8bf4__1__1.B__1.H,3,0.44,0.176,0.259,0.611,mcs
8bnx__1__1.A__1.C,3,1.452,0.047,1.403,1.497,mcs
8bq4__1__1.B__1.D,3,0.782,0.544,0.154,1.097,mcs
8bv3__1__1.B_1.C__1.I_1.L,3,0.858,0.047,0.816,0.909,mcs
8bzx__1__1.A_1.B__1.C_1.D,3,0.515,0.132,0.364,0.607,mcs
8caa__1__1.B__1.F,3,0.866,0.122,0.725,0.945,mcs
8cov__1__1.B__1.T,3,0.376,0.171,0.178,0.476,mcs
8dc6__3__1.C__1.U,3,0.296,0.135,0.152,0.419,mcs
8e0t__1__1.B__1.E,3,0.669,0.321,0.315,0.939,mcs
8e1s__1__1.A__1.C_1.E_1.F,3,0.822,0.133,0.673,0.931,mcs
8e1v__1__1.A__1.C_1.D,3,0.901,0.157,0.725,1.026,mcs
8ede__1__1.A__1.C,3,1.503,0.173,1.362,1.696,mcs
8eg6__2__1.G_1.H__1.AA,3,1.438,0.223,1.185,1.607,mcs
8ep7__2__1.B_2.B__2.E,3,0.913,0.08,0.838,0.998,mcs
8ez1__1__1.A_1.B__1.D,3,0.559,0.004,0.554,0.561,mcs
8ez1__1__1.A_1.B__1.E,3,1.75,0.06,1.687,1.807,mcs
8f1g__1__1.A__1.C,3,2.124,0.152,1.951,2.235,mcs
8fg8__2__1.B__1.GA_1.Q_1.R,3,0.137,0.008,0.132,0.146,mcs
8fvb__1__1.B_2.A_2.B__2.E,3,1.566,0.399,1.105,1.811,mcs
8g9d__1__1.A__1.B,3,1.413,0.134,1.302,1.562,mcs
8gen__1__2.A_3.A__2.B,3,2.443,0.929,1.377,3.073,mcs
8get__1__1.C__1.P,3,1.058,0.325,0.789,1.419,mcs
8gkf__1__1.A__1.J,3,0.649,0.031,0.62,0.682,mcs
8gmi__1__1.B__1.K,3,0.792,0.224,0.572,1.02,mcs
8hq3__1__1.C__1.JA,3,1.042,0.319,0.758,1.387,mcs
8i5q__2__1.B__1.D,3,2.514,0.044,2.464,2.545,global
8iw3__1__1.A_1.B__1.F,3,2.588,0.088,2.527,2.689,mcs
8iw6__1__1.A_1.B__1.F,3,1.74,0.052,1.681,1.782,mcs
8jnv__1__1.B__1.E_1.F,3,1.938,0.043,1.902,1.986,mcs
8jyf__1__1.B__1.F,3,1.319,0.016,1.304,1.337,mcs
8k5y__1__1.A__1.H,3,1.939,0.193,1.717,2.07,mcs
8odp__1__1.A_1.B__1.I_1.J_1.K_1.L,3,1.966,0.221,1.8,2.216,mcs
8oep__2__1.C__1.D,3,1.924,0.033,1.898,1.96,mcs
8og5__1__1.A__1.D,3,0.035,0.002,0.033,0.037,mcs
8og9__1__1.A__1.C,3,2.386,0.05,2.336,2.436,mcs
8ogh__1__1.A_1.B__1.M_1.R,3,0.797,0.105,0.723,0.917,mcs
8ome__1__1.A_1.D__1.H,3,1.269,0.06,1.232,1.338,mcs
8one__1__1.A__1.F_1.K,3,2.163,0.144,2.01,2.294,mcs
8oo5__1__1.A__1.B_1.D_1.E,3,1.116,0.168,0.922,1.216,mcs
8ppd__2__1.B__1.L,3,0.979,0.14,0.846,1.125,global
8pw1__10__1.J__1.T,3,1.413,0.037,1.382,1.453,mcs
8q0u__1__1.A__1.D,3,2.211,0.287,1.88,2.389,mcs
8qdy__1__1.A_2.A__2.B,3,0.54,0.04,0.497,0.575,mcs
8qe3__1__1.A_2.A__2.B,3,1.012,0.265,0.826,1.316,mcs
8qhq__2__1.C_1.D__1.O,3,0.841,0.002,0.839,0.843,mcs
8qth__1__1.A__1.B,3,1.213,0.822,0.608,2.15,mcs
8qtj__1__1.A__1.E,3,2.444,0.235,2.263,2.71,mcs
8qv7__1__1.A__1.E,3,0.741,0.298,0.565,1.084,mcs
8r3d__1__1.B_1.E__1.J,3,0.548,0.09,0.482,0.65,mcs
8sge__1__1.A__1.H,3,2.296,0.092,2.225,2.401,mcs
8sz3__1__1.A_2.B__2.I,3,1.44,0.193,1.223,1.593,mcs
8t5k__1__1.A_2.A__1.B_2.B,3,0.747,0.564,0.32,1.386,mcs
8tjc__1__1.B__1.N,3,1.646,0.036,1.62,1.688,mcs
8ttj__4__1.D__1.CA,3,0.322,0.081,0.235,0.396,mcs
8uuf__1__1.A__1.B,3,4.667,0.027,4.642,4.695,mcs
8w6p__1__1.A_1.B__1.E,3,1.889,1.281,0.582,3.142,mcs
8wsm__1__1.A__1.D,3,2.634,0.119,2.557,2.771,mcs
